,mzp,mdh,mdm,gq,gx,exp,obs
163,1795.0,125.0,1038.0,0.25,0.8951956214967344,,
164,1800.0,141.0,875.0,0.25,0.17258952950017814,1.19530312353e+69,
165,1805.0,123.0,1085.0,0.25,0.47880863446515853,2.93144572432e+54,
166,1810.0,138.0,768.0,0.25,1.1199386586985913,1.08312930527,1.55097772235
167,1815.0,129.0,856.0,0.25,0.6688124819868485,22.4925342299,25.6421449725
168,181.0,152.0,492.0,0.25,0.10604180774098729,4.77152770269e+78,
169,1820.0,138.0,864.0,0.25,0.10380367146075078,,
170,1825.0,132.0,180.0,0.25,2.5012299144648877,0.00753300178411,0.0107591569648
171,1830.0,52.0,387.0,0.25,0.6546964129335366,1.2982907756,2.41483998207
172,1834.0,105.0,522.0,0.25,1.2638413187478117,0.123790063142,0.137512655116
173,1839.0,109.0,184.0,0.25,1.632546081452242,0.0172280213453,0.0192582843247
174,1844.0,142.0,238.0,0.25,3.0740403284842994,0.00727507302604,0.0103361044155
175,1849.0,99.0,647.0,0.25,0.3284662564496811,36.727937942,40.1870087696
176,1854.0,108.0,889.0,0.25,0.6905593058341568,22.8757021831,26.1025001771
177,1859.0,114.0,201.0,0.25,2.6570686230983203,0.00530960169922,0.00573525381313
178,1864.0,116.0,752.0,0.25,1.7342615901492955,0.120043763448,0.123614798239
179,1869.0,143.0,334.0,0.25,0.176310774443902,1.46772868883e+18,
180,1874.0,166.0,475.0,0.25,0.6119313012285351,,
181,1879.0,55.0,516.0,0.25,0.34278323837098773,,
182,1884.0,88.0,346.0,0.25,0.6477505006193252,0.692037201131,0.703304407876
183,1889.0,168.0,1103.0,0.25,0.27595065335594576,,
184,1899.0,153.0,1078.0,0.25,0.555920681920054,8.0123257052e+60,
185,1904.0,65.0,660.0,0.25,0.5658915012733239,3.70821189191,4.92416380679
186,1909.0,168.0,712.0,0.25,0.1360071956199885,,
187,1914.0,146.0,301.0,0.25,2.2243307651242388,0.026291560457,0.036929848936
188,1919.0,149.0,113.0,0.25,0.9275954929229826,0.269595298533,0.364159597587
189,191.0,58.0,900.0,0.25,0.18465103132786834,,
190,1924.0,157.0,715.0,0.25,0.4539426126294614,,
191,1929.0,115.0,482.0,0.25,0.2597659778486204,,
192,1933.0,87.0,552.0,0.25,0.43343908241529183,8.33721442909,8.37093326684
193,1938.0,57.0,613.0,0.25,1.603781164454156,0.0816935895526,0.189940251071
194,1943.0,86.0,675.0,0.25,0.3882057456786827,19.1470444849,20.6722940139
195,1948.0,96.0,190.0,0.25,0.6881084864843591,0.404536251845,0.404782443213
